session,combo,n_ind,stop,trades,win_rate,pnl,avg_win,avg_loss,max_dd,consec_L,sharpe,exp,score
13:00-17:00,MACD+VWAP+RSI+VOL,4,30,240,20.0,-15360.0,296.0,-154.0,-16318.0,22,-0.65,-64.0,-9999.0
14:00-18:00,STOCH+VWAP,2,20,145,7.6,-11780.0,196.0,-104.0,-11780.0,24,-1.54,-81.2,-9999.0
13:00-17:00,STOCH+BB+MACD+RSI,4,30,241,17.8,-17764.0,296.0,-154.0,-17764.0,18,-0.78,-73.7,-9999.0
13:00-17:00,STOCH+BB+MACD+RSI,4,20,242,11.6,-16768.0,196.0,-104.0,-16768.0,24,-1.3,-69.3,-9999.0
13:00-17:00,STOCH+BB+MACD+VWAP,4,40,167,22.2,-11868.0,396.0,-204.0,-12060.0,13,-0.45,-71.1,-9999.0
13:00-17:00,STOCH+BB+MACD+VWAP,4,30,172,18.0,-12538.0,296.0,-154.0,-12680.0,15,-0.73,-72.9,-9999.0
13:00-17:00,STOCH+BB+MACD+VWAP,4,20,174,10.9,-12396.0,196.0,-104.0,-12396.0,30,-1.13,-71.2,-9999.0
13:00-17:00,VWAP+RSI+VOL,3,40,224,20.1,-18696.0,396.0,-204.0,-18696.0,13,-0.65,-83.5,-9999.0
13:00-17:00,VWAP+RSI+VOL,3,30,228,18.4,-16212.0,296.0,-154.0,-16424.0,20,-0.73,-71.1,-9999.0
13:00-17:00,VWAP+RSI+VOL,3,20,230,10.0,-17020.0,196.0,-104.0,-17020.0,30,-1.44,-74.0,-9999.0
13:00-17:00,STOCH+MACD+RSI+VOL,4,20,245,11.4,-17080.0,196.0,-104.0,-17080.0,20,-1.36,-69.7,-9999.0
13:00-17:00,MACD+RSI+VOL,3,30,232,19.0,-15928.0,296.0,-154.0,-16590.0,22,-0.69,-68.7,-9999.0
13:00-17:00,MACD+RSI+VOL,3,20,234,10.3,-17136.0,196.0,-104.0,-17136.0,30,-1.43,-73.2,-9999.0
13:00-17:00,MACD+VWAP+VOL,3,40,192,19.8,-16368.0,396.0,-204.0,-16368.0,28,-0.58,-85.2,-9999.0
13:00-17:00,MACD+VWAP+VOL,3,30,198,18.7,-13842.0,296.0,-154.0,-14126.0,32,-0.65,-69.9,-9999.0
13:00-17:00,MACD+VWAP+VOL,3,20,199,7.0,-16496.0,196.0,-104.0,-16496.0,55,-1.41,-82.9,-9999.0
13:00-17:00,MACD+VWAP+RSI,3,40,195,22.1,-13980.0,396.0,-204.0,-14940.0,15,-0.49,-71.7,-9999.0
13:00-17:00,MACD+VWAP+RSI,3,30,199,20.6,-12196.0,296.0,-154.0,-12242.0,20,-0.51,-61.3,-9999.0
13:00-17:00,MACD+VWAP+RSI,3,20,202,12.4,-13508.0,196.0,-104.0,-13508.0,24,-1.07,-66.9,-9999.0
13:00-17:00,MACD+RSI+VOL,3,40,228,18.4,-21312.0,396.0,-204.0,-21876.0,14,-0.77,-93.5,-9999.0
13:00-17:00,STOCH+MACD+VWAP+VOL,4,40,213,23.5,-13452.0,396.0,-204.0,-13452.0,13,-0.44,-63.2,-9999.0
13:00-17:00,STOCH+MACD+VWAP+VOL,4,30,220,20.5,-13630.0,296.0,-154.0,-13914.0,16,-0.62,-62.0,-9999.0
13:00-17:00,STOCH+MACD+VWAP+VOL,4,20,223,9.9,-16592.0,196.0,-104.0,-16592.0,23,-1.39,-74.4,-9999.0
13:00-17:00,STOCH+MACD+VWAP+RSI,4,40,235,22.1,-16740.0,396.0,-204.0,-17100.0,12,-0.56,-71.2,-9999.0
13:00-17:00,STOCH+MACD+VWAP+RSI,4,30,242,19.0,-16568.0,296.0,-154.0,-16568.0,17,-0.69,-68.5,-9999.0
13:00-17:00,STOCH+MACD+VWAP+RSI,4,20,243,11.9,-16572.0,196.0,-104.0,-16572.0,25,-1.25,-68.2,-9999.0
